customer_id,usergender,dob
100032,Female,8/8/1985
100046,Male,7/11/1987
100050,Male,11/19/1994
100063,Male,9/10/1999
100076,Female,5/14/1995
100088,Male,2/21/1986
100131,Female,5/23/1987
100157,Male,2/19/1994
100171,Female,1/14/1987
100173,Not verify,1/1/1970
100178,Male,4/13/1994
100198,Female,12/3/1992
100237,Not verify,1/1/1970
100248,Female,2/5/1993
100254,Male,9/12/1982
100284,Male,5/22/1993
100310,Male,7/27/1991
100312,Male,3/26/1978
100319,Male,6/23/1987
100330,Male,6/2/1988
100353,Female,1/1/1979
100385,Male,3/2/1992
100391,Male,1/17/1988
100393,Male,9/2/1972
100399,Female,12/25/1986
100408,Male,9/5/1988
100409,Female,5/19/1990
100439,Male,8/1/1992
100462,Female,11/6/1988
100472,Female,11/1/1999
100524,Male,9/14/1995
100547,Not verify,1/1/1970
100567,Male,10/18/1996
100596,Male,5/18/1989
100606,Male,4/23/1985
100609,Male,4/28/1990
100613,Male,12/19/1982
100627,Male,10/1/1980
100655,Female,9/21/1992
100661,Not verify,1/1/1970
100689,Male,10/25/1989
100741,Male,2/5/1992
100749,Male,12/27/1984
100752,Male,12/15/1980
100763,Male,2/5/1991
100772,Male,10/1/2000
100811,Male,8/21/1992
100816,Male,2/7/1996
100832,Female,6/22/1992
100852,Male,8/31/1997
100889,Female,11/19/1988
100897,Male,7/15/1995
100928,Male,1/1/1980
100929,Female,4/9/1990
100940,Male,10/28/1987
100948,Male,10/11/1998
100959,Male,11/11/1997
100962,Male,3/18/1988
100965,Male,9/20/1988
100990,Female,8/1/1995
100996,Female,5/12/1995
101013,Male,10/8/1991
101036,Male,12/2/1994
101037,Female,3/3/1999
101040,Male,4/10/1994
101048,Male,4/22/1994
101049,Male,4/4/1993
101053,Female,8/30/1994
101054,Male,10/21/1995
101062,Male,9/10/1991
101094,Female,11/28/1994
101108,Male,10/18/1989
101133,Female,9/22/1980
101134,Female,1/9/1995
101175,Male,10/10/1992
101188,Male,2/29/1996
101191,Male,9/9/1993
101217,Male,6/2/1995
101236,Male,6/1/1991
101250,Female,4/1/1990
101264,Male,3/18/1992
101271,Female,12/2/1994
101290,Male,7/16/1987
101294,Male,1/1/1960
101357,Male,10/29/1992
101386,Male,12/25/1991
101394,Female,12/19/1991
101398,Male,1/1/1994
101401,Not verify,1/1/1970
101420,Male,3/10/1991
101435,Female,4/29/1994
101447,Male,1/1/1990
101453,Male,11/11/1992
101455,Female,7/9/1993
101480,Male,3/21/1995
101484,Male,8/21/2003
101502,Male,2/26/1995
101531,Male,4/30/1975
101568,Male,2/14/1998
101580,Female,3/13/1988
101588,Female,11/5/1987
101606,Male,10/22/1997
101620,Male,1/12/1990
101627,Female,12/25/1996
101629,Male,12/4/1991
101703,Male,7/9/1990
101715,Female,4/12/1986
101784,Female,12/28/2000
101799,Male,10/7/1997
101833,Not verify,1/1/1970
101839,Male,1/1/1992
101853,Male,11/30/1996
101871,Not verify,10/22/1964
101884,Male,10/3/1989
101905,Male,6/12/1988
101910,Male,1/9/1994
101942,Male,9/23/1989
101963,Female,11/11/1988
101979,Male,7/20/1982
102001,Female,6/25/1993
102014,Male,10/20/1993
102026,Male,12/2/1991
102062,Male,11/20/1991
102082,Male,7/26/1990
102111,Male,1/1/1988
102118,Female,1/15/1979
102134,Male,11/10/1989
102163,Male,9/24/1991
102183,Not verify,1/1/1970
102280,Male,2/27/1987
102296,Male,7/2/1978
102301,Not verify,7/24/1993
102308,Male,3/9/1989
102310,Male,5/5/1991
102311,Male,12/25/1997
102314,Male,4/18/1996
102316,Male,10/8/1997
102343,Male,4/4/1996
102358,Male,9/7/1995
102369,Male,5/29/1996
102387,Male,9/12/1988
102396,Male,2/15/1993
102446,Female,11/4/1997
102474,Female,3/6/1998
102489,Male,10/17/1996
102492,Not verify,1/1/1970
102497,Male,6/9/1987
102539,Male,3/30/1988
102541,Male,12/31/1994
102550,Male,6/27/1995
102553,Male,12/16/1992
102559,Male,5/1/1995
102561,Female,7/26/1994
102584,Male,12/23/1984
102593,Male,3/9/1992
102635,Male,9/23/1999
102642,Male,3/7/1995
102652,Male,11/21/1993
102659,Male,10/3/1993
102699,Not verify,1/1/1970
102718,Not verify,1/1/1970
102751,Male,3/25/1995
102754,Male,8/29/1977
102862,Male,10/14/1982
102878,Male,11/15/1986
102884,Male,7/29/1994
102910,Male,8/10/1989
102913,Male,1/1/1991
102948,Female,6/5/2000
102951,Female,1/1/1984
102963,Male,10/10/1987
102965,Female,10/28/1994
102970,Male,1/1/1990
102976,Male,12/23/1985
102994,Female,10/21/1988
102998,Male,8/13/1993
102999,Male,5/14/1996
103001,Male,2/5/1995
103033,Male,9/8/1989
103034,Male,5/28/1988
103098,Male,5/1/2001
103104,Male,5/9/1989
103106,Male,10/4/1989
103130,Female,2/16/1997
103171,Male,2/19/1986
103227,Male,1/24/1918
103238,Male,12/27/1997
103259,Male,8/15/1993
103266,Male,11/24/1993
103277,Female,11/12/1997
103283,Male,3/5/1997
103315,Male,12/6/1990
103324,Male,8/19/1993
103328,Female,6/6/2002
103343,Female,1/1/1970
103366,Male,11/19/1981
103384,Male,9/23/1995
103390,Male,10/20/1945
103413,Male,6/29/1984
103426,Female,8/14/1997
103472,Male,5/9/1991
103478,Female,11/30/1990
103509,Male,12/8/1996
103512,Male,10/17/1990
103513,Male,1/1/1980
103534,Male,4/23/1995
103543,Male,11/8/1983
103545,Male,4/6/1998
103571,Male,7/31/1988
103573,Female,9/9/1989
103582,Female,7/17/1986
103599,Not verify,3/9/1987
103604,Male,5/28/1999
103622,Male,2/1/1984
103640,Female,5/22/1990
103669,Male,11/27/1986
103681,Male,9/22/1996
103729,Female,6/22/1991
103741,Male,7/15/1991
103753,Male,5/3/1986
103754,Female,10/1/1992
103766,Male,3/3/2012
103784,Male,1/12/1995
103795,Male,6/12/1989
103796,Male,9/24/1984
103803,Male,5/23/1987
103846,Male,9/11/1995
103852,Male,1/22/1994
103860,Male,7/19/1990
103898,Male,12/2/1995
103905,Male,5/11/1994
103908,Male,2/4/1993
103914,Male,10/20/1993
103940,Male,3/10/1993
103976,Male,11/5/1983
103994,Male,1/15/1980
104024,Male,10/23/1996
104030,Male,8/21/1988
104039,Female,5/28/1983
104057,Male,4/20/1988
104068,Female,10/11/1986
104104,Male,6/26/1992
104106,Male,2/25/1995
104128,Male,9/6/2001
104130,Male,11/16/1997
104132,Male,12/10/1990
104167,Male,11/5/1988
104212,Male,9/15/1985
104258,Male,5/19/1990
104259,Female,4/28/1984
104296,Female,1/11/1993
104310,Male,11/23/1991
104347,Not verify,1/1/1970
104358,Female,7/26/1991
104369,Male,1/1/1980
104388,Male,2/18/1992
104392,Female,1/31/1988
104393,Male,4/28/1989
104418,Male,9/26/1991
104436,Male,3/2/1997
104444,Female,12/30/1996
104455,Female,3/31/1987
104458,Female,8/6/1996
104465,Male,7/5/2000
104470,Not verify,1/20/1983
104475,Male,2/25/1998
104492,Male,10/1/1986
104497,Male,11/17/2000
104506,Male,12/3/1989
104531,Not verify,1/1/1970
104540,Not verify,1/1/1970
104543,Male,9/2/1991
104569,Male,3/1/1994
104571,Male,4/3/1976
104584,Male,2/14/1980
104598,Not verify,1/1/1970
104609,Male,1/1/1985
104626,Male,12/22/1995
104653,Male,8/21/1981
104657,Female,3/3/1997
104660,Male,7/11/1994
104702,Male,11/18/1980
104731,Not verify,1/1/1970
104763,Female,12/20/1983
104790,Female,3/19/1991
104795,Male,4/9/1980
104826,Male,5/21/1991
104840,Male,7/9/2000
104843,Male,5/1/1984
